文件名,模板类型,版式,发票号码,发票代码,样票编号,开票日期,到期日,卖方,卖方税号,买方,买方税号,币别,合计金额,税率,合计税额,价税合计,项目数,付款方式
T1-01_专业发票_软件开发服务.pdf,专业发票,商业发票 / Commercial Invoice,="26711000000000000001",="071002600111",INV-2026-0001-SAMPLE,2026年06月03日,2026年07月03日,环宇国际贸易股份有限公司,91310115MA1H8WXYQ4,光点设计工作室,91310108MA01ABCDE4,USD,6100.0,5%,305.0,6405.0,2,T/T 电汇
T1-02_专业发票_设备采购.pdf,专业发票,商业发票 / Commercial Invoice,="26711000000000000002",="071002600211",INV-2026-0002-SAMPLE,2026年06月21日,2026年07月21日,鼎新资讯科技股份有限公司,91320594MA1H8WXQR,宏远建设股份有限公司,91320100MA01ABCDGT,CNY,29700.0,6%,1782.0,31482.0,2,银行转账
T2-03_代理发票_代理服务费.pdf,代理发票,代理服务发票 / Agency Service Invoice,="26711000000000000003",="071002600311",AGC-2026-0011-SAMPLE,2026年07月02日,2026年08月01日,明诚专业顾问有限公司,91350200MA1H8WXPG,星海教育基金会,91440300MA01ABCDF1,USD,7070.0,5%,353.5,7423.5,3,T/T 电汇
T2-04_代理发票_佣金结算.pdf,代理发票,代理服务发票 / Agency Service Invoice,="26711000000000000004",="071002600411",AGC-2026-0012-SAMPLE,2026年07月18日,2026年08月17日,明诚专业顾问有限公司,91350200MA1H8WXPG,光点设计工作室,91310108MA01ABCDE4,TWD,127200.0,5%,6360.0,133560.0,2,支票
T3-05_估算发票_项目预估价.pdf,估算发票,估价单 / Estimate,="26711000000000000005",="071002600511",EST-2026-0021-SAMPLE,2026年07月25日,2026年08月24日,鼎新资讯科技股份有限公司,91320594MA1H8WXQR,宏远建设股份有限公司,91320100MA01ABCDGT,CNY,110000.0,6%,6600.0,116600.0,2,待确认
T3-06_估算发票_季度预算估算.pdf,估算发票,估价单 / Estimate,="26711000000000000006",="071002600611",EST-2026-0022-SAMPLE,2026年08月05日,2026年09月04日,明诚专业顾问有限公司,91350200MA1H8WXPG,星海教育基金会,91440300MA01ABCDF1,TWD,180000.0,5%,9000.0,189000.0,1,待确认
T4-07_条款发票_年度维保.pdf,条款发票,含条款与条件 / With Terms,="26711000000000000007",="071002600711",INV-2026-0031-SAMPLE,2026年08月12日,2026年09月11日,鼎新资讯科技股份有限公司,91320594MA1H8WXQR,光点设计工作室,91310108MA01ABCDE4,CNY,63600.0,6%,3816.0,67416.0,2,银行转账
T4-08_条款发票_物流服务.pdf,条款发票,含条款与条件 / With Terms,="26711000000000000008",="071002600811",INV-2026-0032-SAMPLE,2026年08月28日,2026年09月27日,环宇国际贸易股份有限公司,91310115MA1H8WXYQ4,宏远建设股份有限公司,91320100MA01ABCDGT,USD,9430.0,5%,471.5,9901.5,2,T/T 电汇
T5-09_简式发票_办公用品.pdf,简式发票,简式发票 / Simplified Invoice,="26711000000000000009",="071002600911",INV-2026-0041-SAMPLE,2026年09月02日,2026年09月02日,明诚专业顾问有限公司,91350200MA1H8WXPG,星海教育基金会,91440300MA01ABCDF1,TWD,3860.0,5%,193.0,4053.0,1,现金
T5-10_简式发票_翻译服务.pdf,简式发票,简式发票 / Simplified Invoice,="26711000000000000010",="071002601011",INV-2026-0042-SAMPLE,2026年09月06日,2026年09月21日,明诚专业顾问有限公司,91350200MA1H8WXPG,光点设计工作室,91310108MA01ABCDE4,CNY,12880.0,6%,772.8,13652.8,1,微信支付
T6-11_演讲者发票_主题演讲.pdf,演讲者发票,演讲服务发票 / Speaker Invoice,="26711000000000000011",="071002601111",SPK-2026-0051-SAMPLE,2026年09月08日,2026年09月30日,鼎新资讯科技股份有限公司,91320594MA1H8WXQR,宏远建设股份有限公司,91320100MA01ABCDGT,CNY,31200.0,6%,1872.0,33072.0,2,银行转账
T6-12_演讲者发票_培训课程.pdf,演讲者发票,演讲服务发票 / Speaker Invoice,="26711000000000000012",="071002601211",SPK-2026-0052-SAMPLE,2026年09月10日,2026年10月10日,环宇国际贸易股份有限公司,91310115MA1H8WXYQ4,星海教育基金会,91440300MA01ABCDF1,TWD,50000.0,5%,2500.0,52500.0,2,T/T 电汇
